date,symbol,open,high,low,close
2025-04-28,ETH,69.79,70.03,68.01,68.11
2025-04-27,ETH,69.93,70.24,69.54,69.79
2025-04-26,ETH,69.34,70.17,69.16,69.93
2025-04-25,ETH,69.58,70.44,68.89,69.34
2025-04-24,ETH,71.7,71.7,69.47,69.58
2025-04-23,ETH,72.69,73.31,70.94,71.7
2025-04-22,ETH,68.43,72.69,67.97,72.69
2025-04-21,ETH,69.02,69.84,68.14,68.43
2025-04-20,ETH,67.74,69.33,67.65,69.02
2025-04-19,ETH,68.38,68.72,67.0,67.74
2025-04-18,ETH,70.28,70.29,68.22,68.38
2025-04-17,ETH,69.7,70.54,68.73,70.28
2025-04-16,ETH,70.85,73.73,69.41,69.7
2025-04-15,ETH,71.4,71.79,70.58,70.85
2025-04-14,ETH,78.58,78.58,72.61,72.65
2025-04-13,ETH,75.62,79.09,74.97,78.58
2025-04-12,ETH,76.36,77.51,74.13,75.63
2025-04-11,ETH,75.48,76.48,75.02,76.36
2025-04-10,ETH,72.77,77.6,71.27,75.48
2025-04-09,ETH,78.39,89.88,72.77,72.77
2025-04-08,ETH,75.06,79.76,74.52,78.39
2025-04-07,ETH,81.48,88.43,74.66,75.06
2025-04-06,ETH,72.98,83.92,72.91,81.48
2025-04-05,ETH,71.29,73.25,70.94,72.98
2025-04-04,ETH,69.62,72.53,68.64,71.29
2025-04-03,ETH,68.99,70.6,67.22,69.62
2025-04-02,ETH,66.55,69.67,65.3,68.99
2025-04-01,ETH,66.26,66.7,65.27,66.55
2025-03-31,ETH,71.67,71.81,68.64,68.64
2025-03-30,ETH,71.49,72.03,68.99,71.67
2025-03-29,ETH,64.2,72.38,63.81,71.49
2025-03-28,ETH,61.31,66.21,61.05,64.2
2025-03-27,ETH,62.0,62.0,60.77,61.31
2025-03-26,ETH,61.88,62.38,61.5,62.0
2025-03-25,ETH,62.5,62.92,61.6,61.88
2025-03-24,ETH,64.13,65.04,62.5,62.5
2025-03-23,ETH,66.48,66.6,63.6,64.13
2025-03-22,ETH,64.09,66.65,63.36,66.48
2025-03-21,ETH,65.47,65.55,63.98,64.09
2025-03-20,ETH,68.44,68.56,65.3,65.47
2025-03-19,ETH,67.45,68.58,66.41,68.44
2025-03-18,ETH,69.15,69.19,67.36,67.45
2025-03-17,ETH,72.66,72.81,69.15,69.15
2025-03-16,ETH,72.42,73.18,72.38,72.67
2025-03-15,ETH,72.23,72.52,71.2,72.42
2025-03-14,ETH,74.34,74.59,72.06,72.23
2025-03-13,ETH,75.05,75.47,74.19,74.34
2025-03-12,ETH,73.28,76.93,72.5,75.05
2025-03-11,ETH,74.95,77.16,73.28,73.28
2025-03-10,ETH,77.95,78.05,71.79,74.95
2025-03-09,ETH,69.24,78.16,68.98,77.95
2025-03-08,ETH,69.48,69.5,67.05,69.24
2025-03-07,ETH,72.65,73.08,68.47,69.48
2025-03-06,ETH,71.44,72.75,70.83,72.65
2025-03-05,ETH,73.05,75.2,70.83,71.62
2025-03-04,ETH,74.25,81.31,71.61,73.05
2025-03-03,ETH,68.17,75.05,66.71,74.25
2025-03-02,ETH,66.24,70.16,66.06,68.17
2025-03-01,ETH,64.87,67.02,64.28,66.24
2025-02-28,ETH,66.21,77.39,64.87,64.87
2025-02-27,ETH,66.16,67.07,64.48,66.21
2025-02-26,ETH,65.04,67.03,64.01,66.16
2025-02-25,ETH,64.89,70.35,64.76,65.04
2025-02-24,ETH,66.83,66.84,61.81,64.89
2025-02-23,ETH,65.49,66.9,64.95,66.83
2025-02-22,ETH,63.91,67.05,63.7,65.49
2025-02-21,ETH,62.65,65.84,60.4,63.91
2025-02-20,ETH,64.92,64.92,62.49,62.65
2025-02-19,ETH,67.61,67.62,64.92,64.92
2025-02-18,ETH,67.43,69.37,66.77,67.61
2025-02-17,ETH,66.67,68.66,66.33,67.43
2025-02-16,ETH,65.91,67.51,65.85,66.67
2025-02-15,ETH,66.83,66.83,64.96,65.91
2025-02-14,ETH,69.18,69.19,66.19,66.83
2025-02-13,ETH,69.47,71.92,68.95,69.18
2025-02-12,ETH,70.26,70.75,68.17,69.47
2025-02-11,ETH,69.22,70.4,68.91,70.26
2025-02-10,ETH,71.12,71.58,69.11,69.22
2025-02-09,ETH,69.78,71.62,69.59,71.12
2025-02-08,ETH,69.78,70.33,69.37,69.78
2025-02-07,ETH,69.79,69.96,68.1,69.78
2025-02-06,ETH,69.77,69.99,68.64,69.79
2025-02-05,ETH,71.08,71.37,68.01,69.77
2025-02-04,ETH,71.11,72.89,70.41,71.08
2025-02-03,ETH,67.84,101.17,66.8,70.91
2025-02-02,ETH,65.83,73.41,65.34,67.84
2025-02-01,ETH,64.23,66.13,63.45,65.83
2025-01-31,ETH,65.7,66.02,63.38,64.23
2025-01-30,ETH,65.24,66.71,64.99,65.71
2025-01-29,ETH,66.26,67.03,65.23,65.24
2025-01-28,ETH,67.79,68.16,66.23,66.26
2025-01-27,ETH,67.21,69.1,66.93,67.79
2025-01-26,ETH,67.08,67.63,66.74,67.21
2025-01-25,ETH,65.93,67.11,65.34,67.08
2025-01-24,ETH,68.41,68.42,65.93,65.93
2025-01-23,ETH,69.1,69.68,67.81,68.41
2025-01-22,ETH,71.09,71.15,69.08,69.1
2025-01-21,ETH,73.15,73.99,70.98,71.09
2025-01-20,ETH,76.29,78.35,73.15,73.15
2025-01-19,ETH,72.65,77.7,72.0,76.29
2025-01-18,ETH,70.8,73.91,70.75,72.65
2025-01-17,ETH,71.36,72.62,70.76,70.8
2025-01-16,ETH,71.3,72.6,70.05,71.36
2025-01-15,ETH,71.55,71.88,70.4,71.3
2025-01-14,ETH,71.44,73.07,71.23,71.55
2025-01-13,ETH,69.71,74.15,69.56,71.44
2025-01-12,ETH,69.1,70.04,68.59,69.71
2025-01-11,ETH,67.84,69.42,67.61,69.1
2025-01-10,ETH,69.99,70.28,67.84,67.84
2025-01-09,ETH,69.19,69.99,68.05,69.99
2025-01-08,ETH,69.51,70.04,69.13,69.19
2025-01-07,ETH,68.91,70.76,67.51,70.57
2025-01-06,ETH,71.26,71.61,68.68,68.91
2025-01-05,ETH,71.26,71.6,70.89,71.26
2025-01-04,ETH,69.01,72.05,69.01,71.26
2025-01-03,ETH,71.61,72.18,68.91,69.01
2025-01-02,ETH,71.11,75.7,70.61,71.61
2025-01-01,ETH,70.35,71.15,69.1,71.11
2024-12-31,ETH,74.38,74.38,70.33,70.35
2024-12-30,ETH,75.02,75.46,73.97,74.38
2024-12-29,ETH,75.63,75.74,74.48,75.02
2024-12-28,ETH,74.07,76.37,72.87,75.63
2024-12-27,ETH,75.1,75.83,70.66,74.07
2024-12-26,ETH,73.93,75.49,72.35,75.1
2024-12-25,ETH,72.97,75.59,72.63,73.93
2024-12-24,ETH,74.64,75.9,72.93,72.97
2024-12-23,ETH,78.52,79.43,72.43,74.64
2024-12-22,ETH,73.14,78.61,73.1,78.52
2024-12-21,ETH,71.53,74.36,71.04,73.14
2024-12-20,ETH,74.45,78.6,71.44,71.53
2024-12-19,ETH,74.48,74.54,71.7,74.45
2024-12-18,ETH,71.74,73.62,70.77,73.62
2024-12-17,ETH,71.31,71.78,69.84,71.74
2024-12-16,ETH,73.58,73.85,71.04,71.31
2024-12-15,ETH,72.51,73.67,72.03,73.58
2024-12-14,ETH,73.1,73.32,72.32,72.51
2024-12-13,ETH,72.29,73.3,70.38,73.1
2024-12-12,ETH,72.67,73.75,71.85,72.29
2024-12-11,ETH,72.28,74.39,72.23,72.67
2024-12-10,ETH,75.07,77.88,71.2,72.28
2024-12-09,ETH,72.72,75.99,72.54,75.07
2024-12-08,ETH,73.16,73.19,71.82,72.72
2024-12-07,ETH,70.67,73.33,69.93,73.16
2024-12-06,ETH,71.63,73.27,69.98,70.67
2024-12-05,ETH,73.75,74.42,69.88,71.62
2024-12-04,ETH,70.41,74.73,70.36,73.75
2024-12-03,ETH,70.32,70.87,69.7,70.41
2024-12-02,ETH,74.84,74.92,70.45,70.64
2024-12-01,ETH,70.91,78.57,70.81,74.84
2024-11-30,ETH,70.1,71.38,69.38,70.91
2024-11-29,ETH,71.34,71.64,67.32,67.32
2024-11-28,ETH,74.98,75.1,71.04,71.3
2024-11-27,ETH,73.52,75.42,71.51,74.98
2024-11-26,ETH,74.93,74.94,70.47,73.52
2024-11-25,ETH,76.32,76.48,73.73,74.93
2024-11-24,ETH,78.41,78.83,72.38,76.32
2024-11-23,ETH,70.49,78.78,70.44,78.41
2024-11-22,ETH,72.13,72.17,69.73,70.49
2024-11-21,ETH,65.1,72.62,65.1,72.13
2024-11-20,ETH,64.56,66.36,63.4,65.1
2024-11-19,ETH,66.79,66.95,63.72,64.56
2024-11-18,ETH,65.08,66.87,64.54,66.79
2024-11-17,ETH,64.85,65.6,64.49,65.08
2024-11-16,ETH,62.45,66.33,61.98,64.85
2024-11-15,ETH,63.4,65.63,62.72,63.24
2024-11-14,ETH,62.24,65.09,60.76,63.4
2024-11-13,ETH,64.19,67.29,62.22,62.24
2024-11-12,ETH,68.19,70.2,64.19,64.19
2024-11-11,ETH,65.21,68.31,61.64,68.19
2024-11-10,ETH,62.57,65.24,61.15,65.21
2024-11-09,ETH,60.1,62.57,59.9,62.57
2024-11-08,ETH,62.57,62.99,58.75,60.1
2024-11-07,ETH,62.38,63.37,60.45,62.57
2024-11-06,ETH,67.68,67.92,58.15,62.38
2024-11-05,ETH,67.8,69.42,66.11,67.68
2024-11-04,ETH,67.18,68.06,66.79,67.8
2024-11-03,ETH,64.1,68.53,64.1,67.18
2024-11-02,ETH,63.8,64.59,63.61,64.1
2024-11-01,ETH,62.5,64.94,62.36,63.8
2024-10-31,ETH,63.27,64.24,62.38,62.5
2024-10-30,ETH,63.68,64.2,62.69,63.27
2024-10-29,ETH,62.78,63.82,62.46,63.5
2024-10-28,ETH,64.45,64.57,61.96,62.78
2024-10-27,ETH,63.93,64.57,62.26,64.45
2024-10-26,ETH,65.52,65.52,63.28,63.93
2024-10-25,ETH,61.9,65.53,60.83,65.52
2024-10-24,ETH,63.24,63.47,60.48,61.9
2024-10-23,ETH,62.55,63.99,60.74,63.24
2024-10-22,ETH,62.83,63.01,61.18,62.55
2024-10-21,ETH,64.13,64.32,62.75,62.83
2024-10-20,ETH,61.86,64.28,61.75,64.13
2024-10-19,ETH,61.5,62.08,61.27,61.86
2024-10-18,ETH,60.92,61.81,59.29,61.5
2024-10-17,ETH,62.66,62.85,60.76,60.92
2024-10-16,ETH,64.32,64.51,62.66,62.66
2024-10-15,ETH,65.05,65.13,62.9,64.32
2024-10-14,ETH,63.43,65.59,63.35,65.05
2024-10-13,ETH,63.11,63.81,62.94,63.43
2024-10-12,ETH,62.63,63.42,62.3,63.11
2024-10-11,ETH,61.35,62.78,60.48,62.63
2024-10-10,ETH,62.04,62.74,61.0,61.34
2024-10-09,ETH,61.91,62.64,61.82,62.04
2024-10-08,ETH,62.55,62.66,61.86,61.91
2024-10-07,ETH,64.46,65.1,62.54,62.56
2024-10-06,ETH,63.09,64.59,62.88,64.46
2024-10-05,ETH,63.33,63.65,62.59,63.09
2024-10-04,ETH,64.57,64.75,63.24,63.33
2024-10-03,ETH,62.65,64.68,62.4,64.57
2024-10-02,ETH,64.37,65.71,62.21,62.65
2024-10-01,ETH,62.34,65.31,62.17,64.37
2024-09-30,ETH,61.6,62.73,61.51,62.34
2024-09-29,ETH,59.48,61.66,59.42,61.6
2024-09-28,ETH,58.85,60.08,58.8,59.48
2024-09-27,ETH,59.21,60.48,58.72,58.85
2024-09-26,ETH,57.07,59.4,57.01,59.21
2024-09-25,ETH,60.48,60.63,57.07,57.07
2024-09-24,ETH,60.29,61.16,59.67,60.48
2024-09-23,ETH,61.8,62.43,60.21,60.29
2024-09-22,ETH,61.62,62.29,60.83,61.8
2024-09-21,ETH,61.06,61.74,60.43,61.62
2024-09-20,ETH,61.98,63.89,60.87,61.06
2024-09-19,ETH,60.36,62.23,60.22,61.98
2024-09-18,ETH,61.32,63.04,59.99,60.36
2024-09-17,ETH,62.24,63.0,61.28,61.32
2024-09-16,ETH,64.18,64.41,62.2,62.24
2024-09-15,ETH,61.46,64.18,60.99,64.18
2024-09-14,ETH,61.67,61.67,60.23,61.46
2024-09-13,ETH,62.68,62.72,61.28,61.67
2024-09-12,ETH,62.55,63.72,62.28,62.68
2024-09-11,ETH,65.74,65.74,62.03,62.55
2024-09-10,ETH,68.25,68.26,65.69,65.74
2024-09-09,ETH,71.6,71.72,67.97,68.25
2024-09-08,ETH,71.75,72.43,68.79,71.6
2024-09-07,ETH,73.05,73.09,70.67,71.75
2024-09-06,ETH,67.42,74.26,66.34,73.05
2024-09-05,ETH,67.35,67.48,66.55,67.42
2024-09-04,ETH,66.48,72.65,66.46,67.35
